post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_author,comment_status,sku,downloadable,virtual,stock,wholesale_price,markup_percentage,regular_price,discount_percentage,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:yith_product_brand
Bellamy's Organic Vegie Alphabets,bellamys-organic-vegie-alphabets,147,,,publish,0,8/13/2016 21:54:12,1,open,CWH68559,no,no,,4.39,20.00%,5.27,10.00%,4.74,0.22,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68559.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Karicare Aptamil Gold+ 1 AllerPro Infant Formula 0-6 Months,karicare-aptamil-gold-1-allerpro-infant-formula-0-6-months,148,,,publish,0,8/13/2016 21:54:12,1,open,CWH68813,no,no,,26.69,20.00%,32.03,10.00%,28.83,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68813.jpg,,simple,Baby Products > Baby Formula,,,Karicare
Karicare Aptamil Gold+ 2 AllerPro Follow-On Formula 6-12 Months,karicare-aptamil-gold-2-allerpro-follow-on-formula-6-12-months,149,,,publish,0,8/13/2016 21:54:12,1,open,CWH68814,no,no,,26.69,20.00%,32.03,10.00%,28.83,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68814.jpg,,simple,Baby Products > Baby Formula,,,Karicare
Karicare Aptamil Gold De-Lact Lactose Free Infant Formula 0-12 Months,karicare-aptamil-gold-de-lact-lactose-free-infant-formula-0-12-months,150,,,publish,0,8/13/2016 21:54:12,1,open,CWH68815,no,no,,18.69,20.00%,22.43,10.00%,20.19,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68815.jpg,,simple,Baby Products > Baby Formula,,,Karicare
S26 Gold Comfort,s26-gold-comfort,151,,,publish,0,8/13/2016 21:54:12,1,open,CWH68816,no,no,,25.69,20.00%,30.83,10.00%,27.75,0.95,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68816.jpg,,simple,Baby Products > Baby Formula,,,S26
A2 Follow On Formula Stage 2,a2-follow-on-formula-stage-2,152,,,publish,0,8/13/2016 21:54:12,1,open,CWH69965,no,no,,31.99,20.00%,38.39,10.00%,34.55,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH69965.jpg,,simple,Baby Products > Baby Formula,,,A2
A2 Infant Formula Stage 1,a2-infant-formula-stage-1,153,,,publish,0,8/13/2016 21:54:12,1,open,CWH69966,no,no,,31.99,20.00%,38.39,10.00%,34.55,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH69966.jpg,,simple,Baby Products > Baby Formula,,,A2
A2 Premium Toddler Stage 3,a2-premium-toddler-stage-3,154,,,publish,0,8/13/2016 21:54:12,1,open,CWH69967,no,no,,24.99,20.00%,29.99,10.00%,26.99,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH69967.jpg,,simple,Baby Products > Baby Formula,,,A2
Bellamy Organics Pineapple Apple and Banana Snacks,bellamy-organics-pineapple-apple-and-banana-snacks,155,,,publish,0,8/13/2016 21:54:12,1,open,CWH72139,no,no,,3.39,20.00%,4.07,10.00%,3.66,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH72139.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy Organics Pinkies Apple Banana and Pear,bellamy-organics-pinkies-apple-banana-and-pear,156,,,publish,0,8/13/2016 21:54:12,1,open,CWH72141,no,no,,3.99,20.00%,4.79,10.00%,4.31,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH72141.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
